iter	Passed	Remaining
1325	19297	12340
1326	19310	12325
1327	19323	12310
1328	19335	12294
1329	19349	12279
1330	19364	12264
1331	19379	12250
1332	19393	12235
1333	19407	12220
1334	19420	12205
1335	19434	12190
1336	19447	12174
1337	19461	12159
1338	19476	12145
1339	19491	12130
1340	19504	12115
1341	19518	12101
1342	19532	12086
1343	19547	12071
1344	19561	12056
1345	19576	12042
1346	19591	12028
1347	19606	12014
1348	19621	11999
1349	19636	11985
1350	19649	11969
1351	19663	11955
1352	19681	11942
1353	19697	11928
1354	19712	11914
1355	19727	11900
1356	19742	11886
1357	19757	11872
1358	19773	11858
1359	19789	11844
1360	19806	11831
1361	19822	11817
1362	19838	11803
1363	19853	11790
1364	19869	11776
1365	19884	11761
1366	19898	11746
1367	19910	11731
1368	19924	11716
1369	19939	11701
1370	19953	11686
1371	19967	11672
1372	19982	11657
1373	19996	11642
1374	20010	11627
1375	20024	11613
1376	20037	11597
1377	20051	11582
1378	20066	11568
1379	20081	11554
1380	20096	11539
1381	20110	11524
1382	20124	11510
1383	20138	11495
1384	20153	11480
1385	20167	11466
1386	20182	11451
1387	20197	11437
1388	20212	11423
1389	20225	11407
1390	20239	11392
1391	20253	11378
1392	20267	11363
1393	20281	11348
1394	20295	11333
1395	20309	11318
1396	20322	11303
1397	20337	11288
1398	20351	11274
1399	20366	11259
1400	20381	11245
1401	20396	11231
1402	20410	11216
1403	20422	11200
1404	20435	11185
1405	20449	11170
1406	20463	11155
1407	20477	11140
1408	20492	11126
1409	20506	11111
1410	20520	11096
1411	20534	11081
1412	20546	11065
1413	20561	11051
1414	20575	11036
1415	20590	11022
1416	20603	11006
1417	20617	10991
1418	20631	10977
1419	20645	10962
1420	20678	10957
1421	20693	10943
1422	20709	10929
1423	20723	10915
1424	20737	10900
1425	20750	10884
1426	20764	10869
1427	20778	10854
1428	20792	10840
1429	20807	10825
1430	20821	10810
1431	20834	10795
1432	20848	10780
1433	20862	10766
1434	20876	10751
1435	20890	10736
1436	20905	10721
1437	20921	10707
1438	20934	10692
1439	20947	10677
1440	20961	10662
1441	20976	10648
1442	20990	10633
1443	21002	10617
1444	21016	10602
1445	21030	10587
1446	21043	10572
1447	21056	10557
1448	21070	10542
1449	21083	10527
1450	21097	10512
1451	21110	10497
1452	21125	10482
1453	21138	10467
1454	21152	10452
1455	21164	10436
1456	21178	10422
1457	21192	10407
1458	21205	10392
1459	21218	10376
1460	21232	10361
1461	21246	10347
1462	21260	10332
1463	21275	10317
1464	21289	10303
1465	21304	10289
1466	21321	10275
1467	21336	10261
1468	21351	10247
1469	21367	10233
1470	21381	10218
1471	21395	10203
1472	21408	10188
1473	21422	10173
1474	21436	10158
1475	21450	10143
1476	21463	10128
1477	21476	10113
1478	21490	10098
1479	21503	10083
1480	21517	10068
1481	21531	10053
1482	21544	10038
1483	21557	10023
1484	21571	10008
1485	21585	9993
1486	21599	9979
1487	21614	9964
1488	21628	9949
1489	21641	9934
1490	21655	9919
1491	21671	9905
1492	21686	9891
1493	21702	9877
1494	21717	9863
1495	21732	9849
1496	21749	9835
1497	21765	9822
1498	21781	9808
1499	21798	9794
1500	21813	9780
1501	21828	9766
1502	21842	9751
1503	21855	9736
1504	21870	9721
1505	21886	9707
1506	21901	9693
1507	21914	9678
1508	21930	9664
1509	21948	9651
1510	21965	9637
1511	21980	9623
1512	21997	9610
1513	22013	9596
1514	22030	9583
1515	22048	9569
1516	22062	9555
1517	22078	9541
1518	22094	9527
1519	22109	9512
1520	22123	9498
1521	22135	9482
1522	22150	9468
1523	22164	9453
1524	22178	9438
1525	22192	9423
1526	22207	9409
1527	22221	9394
1528	22235	9380
1529	22249	9365
1530	22264	9350
1531	22278	9335
1532	22298	9323
1533	22330	9316
1534	22345	9301
